# Server version 0.08 running on 192.168.1.4:8123
# Game ID: 101
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 700
# First Move Timeout: 30000
# Date: Sat Apr 08 12:39:41 EDT 2017
# Player 1: Player-0, 'GreedyPlayer', running on 192.168.1.4
# Player 2: Player-1, '260674699', running on 192.168.1.4
START Player-0 GreedyPlayer
START Player-1 260674699
PIT 0 0
PIT 1 0
PIT 0 5
PIT 1 1
PIT 0 0
PIT 1 3
PIT 0 1
PIT 1 0
PIT 0 2
PIT 1 2
PIT 0 0
PIT 1 5
PIT 0 1
PIT 1 0
PIT 0 3
PIT 1 3
PIT 0 5
PIT 1 4
PIT 0 3
PIT 1 2
PIT 0 4
PIT 1 0
PIT 0 0
PIT 1 1
PIT 0 2
PIT 1 2
PIT 0 4
PIT 1 4
PIT 0 5
PIT 1 0
PIT 1 3
PIT 1 2
GAMEOVER WINNER 1         Player-0 score: 22  Player-1 score: 50
# Game ended: Sat Apr 08 12:39:43 EDT 2017
