# Server version 0.08 running on 192.168.1.4:8123
# Game ID: 195
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 10000
# First Move Timeout: 60000
# Date: Sun Apr 09 23:02:46 EDT 2017
# Player 1: Player-0, '260674699_2', running on localhost
# Player 2: Player-1, '260674699', running on localhost
START Player-0 260674699_2
START Player-1 260674699
PIT 0 2
PIT 1 2
PIT 0 2
PIT 1 3
PIT 0 1
PIT 1 1
PIT 0 2
PIT 0 1
PIT 1 3
PIT 0 2
PIT 0 0
PIT 1 5
PIT 0 1
PIT 1 0
PIT 0 1
PIT 1 5
PIT 0 2
PIT 1 3
PIT 0 0
PIT 1 0
PIT 0 2
PIT 1 1
PIT 0 1
PIT 1 4
PIT 0 2
PIT 1 3
PIT 0 1
PIT 1 1
PIT 0 0
PIT 1 0
PIT 1 1
PIT 0 2
PIT 1 2
PIT 0 1
PIT 1 3
PIT 0 2
PIT 1 5
PIT 0 0
PIT 1 4
PIT 0 1
PIT 1 5
PIT 0 0
GAMEOVER WINNER 0         Player-0 score: 58  Player-1 score: 14
# Game ended: Sun Apr 09 23:02:52 EDT 2017
