# Server version 0.08 running on 192.168.1.4:8123
# Game ID: 212
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 10000
# First Move Timeout: 30000
# Date: Sun Apr 09 23:44:51 EDT 2017
# Player 1: Player-0, '260674699_5', running on localhost
# Player 2: Player-1, '260674699_4', running on localhost
START Player-0 260674699_5
START Player-1 260674699_4
PIT 0 0
PIT 1 3
PIT 0 0
PIT 1 1
PIT 0 0
PIT 1 2
PIT 0 0
PIT 0 1
PIT 1 5
PIT 0 0
PIT 1 0
PIT 0 0
PIT 1 4
PIT 1 5
PIT 1 0
PIT 0 0
PIT 1 1
PIT 0 2
PIT 1 3
PIT 0 3
PIT 1 1
PIT 0 0
PIT 0 2
PIT 1 4
PIT 0 3
PIT 1 5
PIT 0 0
GAMEOVER WINNER 0         Player-0 score: 50  Player-1 score: 22
# Game ended: Sun Apr 09 23:45:02 EDT 2017
