1,Human,Human,0,Human,21,game00001.log,
2,GreedyPlayer,RandomPlayer,0,GreedyPlayer,37,game00002.log,
3,RandomPlayer,GreedyPlayer,1,GreedyPlayer,21,game00003.log,
4,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00004.log,
5,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,14,game00005.log,
6,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00006.log,
7,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,20,game00007.log,
8,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00008.log,
9,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00009.log,
10,Human,xxxxxxxxx,1,xxxxxxxxx,18,game00010.log,
11,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00011.log,
12,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,15,game00012.log,
13,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,10,game00013.log,
14,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,15,game00014.log,
15,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,14,game00015.log,
16,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00016.log,
17,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00017.log,
18,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00018.log,
19,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,21,game00019.log,
20,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,19,game00020.log,
21,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,25,game00021.log,
22,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00022.log,
23,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00023.log,
24,RandomPlayer,xxxxxxxxx,1,xxxxxxxxx,12,game00024.log,
25,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,26,game00025.log,
27,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,22,game00027.log,
28,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,20,game00028.log,
29,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,13,game00029.log,
30,RandomPlayer,xxxxxxxxx,1,xxxxxxxxx,27,game00030.log,
31,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,201,game00031.log,
33,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,1,game00033.log,TIMEOUT
34,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,13,game00034.log,
39,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,20,game00039.log,
41,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,18,game00041.log,
42,260674699,RandomPlayer,0,260674699,29,game00042.log,
43,RandomPlayer,260674699,0,RandomPlayer,0,game00043.log,TIMEOUT
45,RandomPlayer,260674699,0,RandomPlayer,0,game00045.log,TIMEOUT
49,RandomPlayer,260674699,0,RandomPlayer,1,game00049.log,TIMEOUT
50,RandomPlayer,260674699,0,RandomPlayer,9,game00050.log,TIMEOUT
51,RandomPlayer,260674699,0,RandomPlayer,11,game00051.log,TIMEOUT
52,RandomPlayer,260674699,0,RandomPlayer,10,game00052.log,TIMEOUT
53,RandomPlayer,260674699,0,RandomPlayer,14,game00053.log,TIMEOUT
54,RandomPlayer,260674699,1,260674699,24,game00054.log,
55,RandomPlayer,260674699,1,260674699,25,game00055.log,
56,GreedyPlayer,260674699,1,260674699,17,game00056.log,
57,260674699,RandomPlayer,0,260674699,16,game00057.log,
58,RandomPlayer,260674699,1,260674699,17,game00058.log,
59,GreedyPlayer,260674699,1,260674699,17,game00059.log,
60,GreedyPlayer,260674699,1,260674699,17,game00060.log,
61,260674699,GreedyPlayer,0,260674699,14,game00061.log,
62,RandomPlayer,260674699,1,260674699,30,game00062.log,
63,RandomPlayer,260674699,1,260674699,19,game00063.log,
64,RandomPlayer,260674699,1,260674699,23,game00064.log,
65,RandomPlayer,260674699,1,260674699,22,game00065.log,
66,RandomPlayer,260674699,0,RandomPlayer,1,game00066.log,TIMEOUT
67,RandomPlayer,260674699,0,RandomPlayer,1,game00067.log,TIMEOUT
68,GreedyPlayer,260674699,1,260674699,16,game00068.log,
69,260674699,GreedyPlayer,0,260674699,17,game00069.log,
70,260674699,GreedyPlayer,0,260674699,17,game00070.log,
